Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)"
cat__KSIC중분류_11차_C22000.고무_및_플라스틱제품_제조업,8.676011685290481e-07,0.0030568532909077168,2.0147283479294226e-05,0.005401157308095376,0.011219802877517436,-0.831055503104081,-0.2765664402345105,
cat__KSIC대분류_11차_D00000.전기__가스__증기_및_공기_조절_공급업(35),8.62936499987836e-07,0.0030404180809305635,1.796135378650004e-06,0.007628292257467482,0.03843111789925778,-0.31317884516541494,-0.07035844325139183,
missing__missingindicator_영업활동으로인한현금흐름_연결,8.552878419224226e-07,0.0030134692634019673,8.942315884494492e-06,0.017300841440812235,0.02341041406525198,0.6048210169241879,0.27843603629986213,
missing__missingindicator_매출총이익손실_연결,8.338922260128513e-07,0.0029380852490915013,8.86812824640396e-06,0.017237207835653023,0.02368539177455229,0.7332119430409081,0.27935563503031774,
missing__missingindicator_fe_유무형리스증가_자산,8.290768076237253e-07,0.002921118896251228,1.0217185238945258e-05,0.017237207835653023,0.02368539177455229,-0.5666734207194,-0.2500900328287448,
cat__주식업종_QGS13P.화학,8.198851403443444e-07,0.002888733533723949,1.0766385802003456e-05,0.0014106002277119948,-0.015228042455415982,-0.541215173074842,-0.30968226328526066,
missing__missingindicator_fe_현금_자산,6.81661903862959e-07,0.0024017261729173665,1.0280937826633293e-05,0.017300841440812235,0.02341041406525198,0.7329359792097971,0.2628557699617196,
cat__주식업종_KGS11P.유통업,6.793213575152264e-07,0.002393479633994743,8.412004696373561e-06,0.014245381737992557,0.03137929856811624,0.7144277744677107,0.3648410169481449,
cat__KSIC중분류_11차_C25000.금속_가공제품_제조업,6.697727506214469e-07,0.0023598366520975176,2.0320787060442768e-05,0.005154781163174629,0.02010460561319194,-0.8007034746990718,-0.19687214427047303,
cat__KSIC세분류_11차_C20420.세제__화장품_및_광택제_제조업,6.387874334199206e-07,0.002250664866381863,1.3440807196253423e-05,-0.00042751188555499884,0.0010534950651051693,-0.7562300991962115,-0.24992134685972656,
missing__missingindicator_자산총계_연결,6.264615674271889e-07,0.0022072366583642893,2.1149327809019005e-06,0.017300841440812235,0.02341041406525198,0.24907345794129296,-0.04195148769617394,
missing__missingindicator_유무형리스자산의증가_연결,6.088791562928356e-07,0.002145287858284566,3.878101779572114e-06,0.017237207835653023,0.02368539177455229,0.42954750017163096,0.04963626068714059,
missing__missingindicator_유동부채계_연결,5.743486742187662e-07,0.002023625253860336,8.759015523826704e-06,0.017300841440812235,0.02341041406525198,0.5556278705165433,0.2772997470099132,
cat__KSIC소분류_11차_C29100.일반_목적용_기계_제조업,5.301853768519154e-07,0.0018680229727775692,1.5069369395322806e-05,0.010317109678764059,0.02848660484890541,-0.6883083456941741,-0.21974455393870848,
