Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)",Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)"
num__자산총계_연결,6.154183470173515e-05,0.21041322804040882,0.00012319320067234158,0.01464016621656847,-0.010298576992868014,0.188903952017476,0.48233259656618005,0.2540598456103563,num__유동자산계_연결,5.852158252367496e-05,0.20008690264953122,0.00010857833604124618,0.0156993458100359,-0.005802459168196147,-0.1263585672497381,-0.20093837835749487,-0.08735846616789252
num__fe_재고자산비중,6.084673239664263e-05,0.20803665411241828,0.00011997793597086741,0.06708169014256897,0.10556645541895851,0.097701238012186,-0.05527789876849294,0.11163442386907313,num__fe_자본집약도,5.7660676436745566e-05,0.19714344102430698,0.0001157346979266848,-0.05365158971431649,0.06000217789118651,-0.17390662266861134,-0.09353268941200106,0.0629112550673698
num__fe_재고자산비중__lag1,6.083815532459009e-05,0.20800732886681167,0.0001233369513418722,0.0960797540554484,0.11628927184914788,0.3965099057388025,0.4538394387340103,0.25055856214065325,num__자본집약도_종업원1인당,5.6758483667947335e-05,0.1940588190965145,0.00011287582386526002,-0.01358500355089433,0.003152780990718576,-0.021988170673047324,-0.024803044035246965,-0.20132462630740539
num__매출대비온실가스직접외부비용비율_pct__diff1,6.081781452876993e-05,0.20793778312560696,0.00012085975356841873,0.0038440948935435566,0.047413765308605964,0.07214550371998295,-0.3668570412704274,0.3320389958678401,num__유형자산_투자부동산감가상각비_연결,5.650066722839777e-05,0.1931773375880346,0.00011280449384500519,0.0030431568426237867,-0.012629099321033318,-0.11500189706654843,-0.4755073438829434,-0.22781865507078328
num__fe_signed_log1p_기부금_원,6.058560886683889e-05,0.20714386557126413,0.00012487386627080285,-0.00011808171212290961,-0.05230523075272061,0.4787319041208952,0.3606727656292297,0.33589336845136064,num__평균시가총액_보통주우선주,5.5285544905813874e-05,0.18902280089607554,0.00010962729867084238,0.0613249668081334,-0.08369507697676207,-0.16086094385094096,-0.3170162421590658,-0.302425835729494
cat__시장구분_코스피,6.028089779575761e-05,0.20610205002584533,0.0001222302563722977,-0.0021023961177587033,0.023472888936953384,0.9029253323208121,0.8644216797819307,0.941016041066695,num__노동생산성,5.479515265754918e-05,0.18734613629120217,0.00010596161780607157,-0.0899670042955253,-0.1794466920778324,-0.41800808503277215,-0.4787239724938844,-0.4526692996288051
num__기부금_원,5.578990101931733e-05,0.19074720834084066,0.00011004762794784213,-0.028136839528309726,-0.05723676058282119,0.08191198694521709,0.15961050529015197,-0.03186201278538607,num__협의_평균가격_원_tCO2eq,5.400365790261074e-05,0.1846399939220187,0.00010592869818292804,1.8558646805898962e-17,5.922735343734368e-17,-1.7782753358083305e-17,,2.7772564075893436e-16
num__ESG등급,5.362389785874763e-05,0.18334158387140398,0.00011356389088438407,0.030093724872030284,0.038718932142720076,0.8175854772958405,0.8909583944543021,0.8880355142280175,num__fe_signed_log1p_자산총계_연결,4.7618371744317204e-05,0.1628085246614768,9.539011896599414e-05,0.038598104775713155,-0.010981334154706396,-0.07508500890474261,-0.08171741348619262,-0.30668420212820474
num__배출권_할당취소량,5.3168246972992855e-05,0.18178370094191715,0.00015994397946170614,0.008956038981296186,0.05037976066258208,0.8151916816328628,0.4216161683920957,0.8985280020745777,num__fe_배출권_총할당량,4.074524632417771e-05,0.13930911952695021,9.702244034420338e-05,0.03339165798238021,0.009546593518336,-0.7553801636409061,-0.33933184190712545,-0.8465255783196187
num__노동생산성__diff1,5.2593152791067826e-05,0.17981743809270945,0.00012889466036142622,-0.05475751359800361,-0.16297444599329075,0.49908343265441396,-0.006733937624137563,0.4356382655383187,cat__기부금_출처_xml_table,3.978734411103873e-05,0.13603402547441715,7.989160936238229e-05,-0.03870043396219001,-0.0609537104340891,-0.5253352189871988,-0.5288814701888653,-0.7749568709754139
num__경쟁_거래량_천톤,5.0376866562989396e-05,0.1722398944303926,9.196362144781346e-05,1.8558646805898962e-17,5.922735343734368e-17,3.64554385725224e-17,,-1.7228649431931233e-17,num__fe_signed_log1p_기부금_원__lag1,3.747410217473754e-05,0.1281249875750018,7.47841561048981e-05,-0.006777679949830708,-0.03372075538790712,-0.04862764097874925,-0.17771870023712327,-0.2591588628609878
num__장외_거래량_천톤,4.864174744913954e-05,0.16630747438556953,8.55590055471088e-05,1.8558646805898962e-17,5.922735343734368e-17,9.598531062934613e-17,,2.4922198050056594e-16,cat__Trucost산업_Hotels__Restaurants_and_Leisure,3.74089335993941e-05,0.1279021744208073,0.0014204101933446124,-0.00499383209810301,-0.07820642563991502,-0.9874596617663476,-0.20815736145636674,-0.998505420784482
num__비유동자산계_연결,4.512645516955613e-05,0.1542885932515006,9.043394590295192e-05,0.008119477547378406,-0.00979913092899409,0.11360267237043675,-0.1730680591491845,0.10053060830551289,num__배출권_이월량,3.599235715995797e-05,0.1230588605541939,4.8339759807500275e-05,1.8558646805898962e-17,5.922735343734368e-17,-6.835187267560283e-17,,-1.2971320128630202e-17
num__이자수익_연결,4.375891387517502e-05,0.14961293189652355,8.653606195377605e-05,-0.0003995723854276732,-0.014519387022094033,0.19252641678681348,0.536864187180861,0.12364404174234797,num__배출권_인증배출량_tCO2eq,3.558193264381863e-05,0.12165560782820121,7.1410331302801e-05,0.03733810851656781,0.012296766584603859,-0.3653510030946722,0.18027808686294397,-0.6233334159381281
