Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)",Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)"
num__fe_배출권_부족여부,0.00021368131434193789,0.3420574606263228,0.0004250007248889786,0.03621416485213038,-0.01750821937635787,0.21327367030891892,0.4727586168584829,0.22762776027076898,num__매출원가_연결,0.0002219472496028228,0.3552894310199313,0.0004628621871893691,0.016408345039103333,0.044201977236340846,-0.04176371843173482,0.10552916476072337,0.23753408346651947
num__지배기업소유주지분_연결,0.0002122392779455868,0.33974907297256074,0.00044860546285684533,0.0001904073720766674,-0.02672489994296566,0.20164982728185285,0.4097488802688413,-0.16962045481412777,num__fe_Scope1_2_매출집약도__diff1,0.0002181717073714581,0.349245606401362,0.0004466452349975037,-0.013125409223475815,0.05040705937430895,-0.06941741065844163,-0.09126603820755425,0.04086883485997172
num__비유동부채계_연결,0.000208592642831121,0.33391160070257603,0.0005005690241671754,-0.010301038906240591,0.029424654118829437,0.3253088444347545,0.6576403803151648,0.20419309414106412,num__fe_Scope1_2_매출집약도,0.00021676557020856762,0.3469946856378322,0.0004330929423711987,-0.039857847849507216,0.027899923137076392,-0.002313928227457141,-0.11053333272520051,-0.20673434408197686
num__노동생산성__diff1,0.0002008123021820518,0.3214569620111944,0.0004142169071992922,-0.0540916601787372,-0.12258324234019055,0.117056944105522,0.06794137130221428,-0.11044131591239525,num__배출권_이월량,0.0002050919609935753,0.32830776798795963,0.0004215128019887025,0.0006115215279193972,0.042368080620070865,-0.14351797729813195,-0.0033903828839983376,0.11596381122154861
num__배출권_사전할당량,0.00020006913997938893,0.320267320433693,0.0003959573678061145,0.012514782229457608,0.03538657333617646,0.058886100983179375,0.10152068914858342,0.07382154480654025,num__비유동자산계_연결,0.00019668823445455124,0.3148552236296042,0.00039600371740339247,-0.0034199922271550354,0.016911598115843918,-0.00609034082792586,0.12503198967523288,0.25513874694597927
num__fe_Scope1_2_tCO2e,0.00018921804939669824,0.30289707680161837,0.00039996162902679127,-0.03281174792147101,0.016294332818434943,0.27881400746486035,-0.1465534100540414,0.07650631825488124,num__법인세비용차감전계속영업이익손실_연결,0.0001937500737661498,0.31015186532669514,0.0007098570774152243,-0.0676426664117137,-0.19608544511226306,-0.2861475360769465,-0.5661234608571912,-0.2497347375240978
cat__NICS산업분류_N45301.반도체_및_반도체장비,0.00017714794159934678,0.2835754508776912,0.00041041064184472163,-0.08542955391019685,0.019113646874832836,0.7529914771717854,0.38381032306162804,0.8653879276825462,num__매입채무_연결,0.0001909590826361773,0.3056840935821743,0.00045109693726570434,0.03555404533645419,0.04247114506737758,-0.4849512175407396,-0.010781434166628277,-0.794196794152042
num__fe_부채_자산,0.00017194307000289075,0.2752435798076694,0.00032371082891572675,0.10333614123664038,0.18941033348278177,0.33316166351835974,0.4357234858990706,0.5213360210079548,num__배출권_차입량,0.0001832925397431437,0.29341162042816965,0.0003628559229761536,-0.006151253693340245,-0.0033710153181435963,-0.062124259199887656,-0.6656924408032552,0.06296376766509364
num__배출권_인증배출량_tCO2eq,0.00016998042432218727,0.27210180955172475,0.0003323565205046368,0.01887207734702546,0.02423833706019096,0.044107437867795335,0.5438834041198165,-0.21465403859063,num__fe_배출권_부족량,0.00017735298132858836,0.2839036750339674,0.0003481688751593601,0.010912121158505688,-0.06554476359513373,-0.13352430613620814,-0.17283340228919816,0.29771217879435685
num__자본총계_연결,0.00016827662563146813,0.26937439721171436,0.0003813023651716811,0.002458643030384915,-0.016044874421885194,0.6089817006974012,0.43796444081465435,0.6675494612567119,num__사회등급__lag1,0.00017181085472963166,0.2750319318179221,0.00035321851269858354,0.005394422844507616,-0.02076094631439605,-0.0015232478135582914,0.0070346850370188105,-0.30556771058965737
