Feature,Feature Importance (Gini/Gain),Importance (%),Cumulative Importance (%)
cat__KSIC중분류_11차_C31000.기타_운송장비_제조업,0.00017619612632857322,0.017619612632857322,99.07229327110124
cat__KSIC중분류_11차_C21000.의료용_물질_및_의약품_제조업,0.00017417465213257825,0.017417465213257825,99.0897107363145
cat__주식업종_QGS17P.일반전기전자,0.00016717741477883204,0.016717741477883203,99.10642847779238
cat__KSIC중분류_11차_C26000.전자_부품__컴퓨터__영상__음향_및_통신장비_제조업,0.0001656377143112276,0.01656377143112276,99.1229922492235
missing__missingindicator_이자비용_연결,0.00015693293782288945,0.015693293782288946,99.13868554300579
cat__Scope2사업장간접보고추정구분_산출값,0.00015446858282520924,0.015446858282520924,99.15413240128831
missing__missingindicator_fe_Scope2_매출집약도,0.0001536721247934723,0.01536721247934723,99.16949961376766
missing__missingindicator_EBITDA대금융비용,0.0001510816825881991,0.015108168258819912,99.18460778202648
missing__missingindicator_매입채무_연결,0.0001488585871587489,0.014885858715874889,99.19949364074235
num__fe_배출권_부족비율,0.00014853855501498968,0.014853855501498968,99.21434749624385
missing__missingindicator_fe_Scope1_2_매출집약도,0.0001450133752188942,0.01450133752188942,99.22884883376574
cat__KSIC중분류_11차_J62000.컴퓨터_프로그래밍__시스템_통합_및_관리업,0.00014312419663544546,0.014312419663544546,99.24316125342928
missing__missingindicator_매입채무회전율,0.0001409886872077873,0.014098868720778729,99.25726012215006
missing__missingindicator_fe_signed_log1p_Scope3협력사간접배출량_tCO2e,0.00013932144814677406,0.013932144814677406,99.27119226696473
cat__Scope2사업장간접보고추정구분_반려됨,0.000138196048085087,0.0138196048085087,99.28501187177324
missing__missingindicator_fe_Scope1_2_tCO2e,0.00013750375988470364,0.013750375988470363,99.2987622477617
missing__missingindicator_종업원수증가율,0.00013389129806191133,0.013389129806191133,99.31215137756789
missing__missingindicator_Scope1직접배출량_tCO2e,0.00013049497352867823,0.013049497352867824,99.32520087492075
