Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_강세(<-0.9%),DirectionPearson_강세(<-0.9%),DirectionSpearman_강세(<-0.9%),Rank_보합(-0.9%~4.7%),DirectionPearson_보합(-0.9%~4.7%),DirectionSpearman_보합(-0.9%~4.7%),Rank_약세(>4.7%),DirectionPearson_약세(>4.7%),DirectionSpearman_약세(>4.7%)
수입_발생_월수_-_조치_전_12개월,21,-0.5061518676397063,-0.43969986609360057,21,-0.5570761742090179,-0.5457622661081308,19,-0.5595737513644096,-0.5058153949242942,15,-0.36959118637946176,-0.16967088593039378
한국_수출_증가율,22,-0.18861506673543849,-0.15313582389875935,26,0.049456250555810016,0.17812208771153973,22,-0.27482454836702924,-0.3286761068442048,22,-0.2675781171369067,-0.3012512091674755
수출_발생_월수_-_조치_후_3개월,23,-0.8845174744358376,-0.7860453979410041,23,-0.8852619192469234,-0.8098872649460133,24,-0.8905216244839128,-0.7637029761965887,23,-0.8784998516775423,-0.7947967494348392
브렌트_원유_가격,24,-0.5002361503787649,-0.6571537100909725,22,-0.4239719700577155,-0.7153627712559519,25,-0.5989244595765348,-0.6932969920212074,29,-0.5019015823798421,-0.45774855502705153
inv_cty,25,-0.44749134781165584,-0.5769674973968539,27,-0.7462676021400225,-0.8522520319765018,23,-0.23893038944447537,-0.45247224089845717,25,-0.35894908367911543,-0.3976821518110567
수입_중량_급증률_3개월,26,0.11947615893802775,-0.3458181162839365,25,0.10515798474842326,-0.2168689403226159,26,0.09148269494212218,-0.334289193554398,27,0.201671789976592,-0.45270071143291934
조치대상국_통화의_원화_환율_변화율,27,0.3814805193539016,0.8215281311943871,24,-0.10116371147672171,-0.11189879067933761,37,0.623236488788404,0.4438724180689804,19,0.336411808739801,0.4786263591808376
조치대상국-한국_간_인구가중_거리,28,0.6474123839230358,0.608453228669203,30,0.6648338690408909,0.41872876249593877,27,0.6116297475290068,0.6859279663051889,24,0.701342370874246,0.6970691094632975
iso2,29,-0.6440943359299091,-0.7059975756134544,33,-0.6840098865082813,-0.7407512626367612,30,-0.7177561298962304,-0.7476465010369865,28,-0.5333234909661658,-0.6098187348573288
조치대상국발_한국_HS6_수입_집중도,30,-0.5664804083787764,-0.7632926416538651,28,-0.5691341044380928,-0.8259095301677035,31,-0.5781822936045717,-0.7537877147457229,30,-0.5669671988409376,-0.6308510110985726
조치대상국의_대미_UN_투표_일치율,31,0.3434380901316234,0.6801618532824599,29,0.20344823598035575,0.5409250852552853,28,0.7204228805500632,0.6936718175589116,31,0.799297434546095,0.7695777106910872
한국_GDP_성장률,32,-0.7444815788554999,-0.8826276898665578,35,-0.7509843639151733,-0.8447283303863962,29,-0.7919075244379722,-0.9128619778365646,32,-0.7416183005791499,-0.878414104402272
조치대상국의_대미_무역수지,33,0.10977949700360427,0.4019476994784261,32,-0.08972535144904673,0.33461622044282985,33,0.1875146157117095,0.393588211766521,34,0.5913399845079897,0.4470035608382771
